,src,title,quote,bd
0,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,希望让人自由。,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...                            1994 / 美国 / 犯罪 剧情
1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬,风华绝代。,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,一部美国近现代史。,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...                            1994 / 美国 / 剧情 爱情
3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...                            1994 / 法国 美国 / 剧情 动作 犯罪
4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,失去的才是永恒的。 ,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...                            1997 / 美国 / 剧情 爱情 灾难
5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,最美的谎言。,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...                            1997 / 意大利 / 剧情 喜剧 爱情 战争
6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,最好的宫崎骏，最好的久石让。 ,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...                            2001 / 日本 / 剧情 动画 奇幻
7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,拯救一个人，就是拯救整个世界。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...                            1993 / 美国 / 剧情 历史 战争
8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,盗梦空间,诺兰给了我们一场无法盗取的梦。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,忠犬八公的故事,永远都不能忘记你所爱的人。,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...                            2009 / 美国 英国 / 剧情
10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...                            1998 / 意大利 / 剧情 音乐
11,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险
12,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...                            1998 / 美国 / 剧情 科幻
13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
14,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,机器人总动员,小瓦力，大人生。,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...                            2008 / 美国 / 科幻 动画 冒险
15,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...                            2004 / 法国 瑞士 德国 / 剧情 音乐
16,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,大话西游之大圣娶亲,一生所爱。,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
17,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...                            2011 / 韩国 / 剧情
18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...                            2016 / 美国 / 喜剧 动画 冒险
19,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,无间道,香港电影史上永不过时的杰作。,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生                            2002 / 中国香港 / 剧情 犯罪 悬疑
20,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,教父,千万不要记恨你的对手，这样会让你失去理智。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...                            1972 / 美国 / 剧情 犯罪
21,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,龙猫,人人心中都有个龙猫，童年就永远不会消失。,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...                            1988 / 日本 / 动画 奇幻 冒险
22,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,当幸福来敲门,平民励志片。 ,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...                            2006 / 美国 / 剧情 传记 家庭
23,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,怦然心动,真正的幸福是来自内心深处。,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...                            2010 / 美国 / 剧情 喜剧 爱情
24,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,触不可及,满满温情的高雅喜剧。,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...                            2011 / 法国 / 剧情 喜剧
